epoch,train_loss,val_loss,lr
0,0.8284265089602697,0.4696332860560644,3.99e-04
1,0.4075733238742465,0.3206712631952195,3.98e-04
2,0.3211732154800778,0.2869624782176245,3.94e-04
3,0.29028422619615285,0.265129050328618,3.90e-04
4,0.27347898483276367,0.25590915765081135,3.85e-04
5,0.2591555443548021,0.25680676585152035,3.78e-04
6,0.24507900731904167,0.23501614388965425,3.71e-04
7,0.23278232429708753,0.22008194341546014,3.62e-04
8,0.22091532250245413,0.20867215735571726,3.52e-04
9,0.2154348340772447,0.20964222181411016,3.41e-04
10,0.20129527705056327,0.18909114372162591,3.30e-04
11,0.19618965344769615,0.20091295597099124,3.18e-04
12,0.19188941220442454,0.18629165022146135,3.04e-04
13,0.18285456526847113,0.17612523791335877,2.91e-04
14,0.17714772465683165,0.17689052876972017,2.77e-04
15,0.17936435143152873,0.16533655722935994,2.62e-04
16,0.1697469636088326,0.17478208172888982,2.47e-04
17,0.18123085271744502,0.18646842936674754,2.31e-04
18,0.16783644202209655,0.18166919705413637,2.16e-04
19,0.16633011670339676,0.15699712336063384,2.00e-04
20,0.15868202376933324,0.14857312781470164,1.84e-04
21,0.156124422734692,0.16650362525667464,1.69e-04
22,0.15420046462899162,0.18299354768934703,1.53e-04
23,0.1536484956741333,0.15049549625033423,1.38e-04
24,0.14423224003542037,0.16254984736442565,1.23e-04
25,0.14870009826762334,0.15881534289746058,1.09e-04
26,0.1459714115375564,0.15005035144942147,9.55e-05
27,0.13982809093736467,0.13659785333133878,8.24e-05
28,0.13520955727213904,0.1286677041224071,7.01e-05
29,0.13962564425809043,0.13394361904689245,5.86e-05
30,0.13240147481362025,0.14588947807039535,4.79e-05
31,0.13175269088574817,0.13176293656939553,3.82e-05
32,0.12804101528156372,0.13231980289731707,2.95e-05
33,0.12717017737172898,0.12352946514175052,2.18e-05
34,0.12439491557223456,0.12566055414222535,1.52e-05
35,0.12093281107289451,0.12194367448488871,9.79e-06
36,0.11891002796945117,0.11730695622307914,5.53e-06
37,0.1185332620427722,0.1186963133868717,2.46e-06
38,0.11787201769295193,0.11630692169779823,6.17e-07
39,0.11675393446570351,0.11710220986888523,0.00e+00
