true,pred,diff
0,0,3.044378554461724e-07
0,0,8.596987064739726e-08
0,0,1.870275541282335e-07
0,0,7.834264147718861e-08
0,0,9.300334667036587e-08
0,0,2.1681512574083307e-07
0,0,7.464190370464607e-08
0,0,6.511177465608273e-08
0,0,1.3108899550422487e-07
0,0,1.0211466898119599e-07
0,0,1.0960460073987622e-07
0,0,9.873504305285554e-08
0,0,7.844111906830318e-08
0,0,7.372042183626203e-07
0,0,1.0044211057405582e-07
0,0,4.3795504474502536e-07
0,0,4.810369342652135e-07
0,0,3.052203988442119e-07
0,0,5.406670856250202e-08
0,0,1.7980355147412232e-07
0,0,3.5206462109686236e-06
0,0,3.164212287713208e-06
0,0,1.0167381422427061e-07
0,0,2.2930499702260386e-07
0,0,1.2842019776038098e-07
0,0,1.2254056546762875e-07
0,0,3.8993597604826184e-07
0,0,1.4530525321910003e-07
0,0,2.9994684733113703e-07
0,0,6.689011531301121e-08
0,0,7.028794297025667e-08
0,0,1.355510196601711e-07
0,0,2.2370635888181133e-07
0,0,1.5292345982291175e-07
0,0,1.8244557735679346e-07
0,0,1.2676549700021272e-07
0,0,1.0250091279106311e-07
0,0,1.4108413161786927e-06
0,0,3.6679915759099044e-07
0,0,7.630909277702388e-08
0,0,9.072259794290933e-08
0,0,1.45237345156254e-07
0,0,1.4650203770442923e-07
0,0,2.9377210201527425e-07
0,0,1.4653629357556682e-07
0,0,2.1021712843403127e-07
0,0,1.4870157093083657e-07
0,0,6.713377472173365e-07
0,0,2.4430377076760513e-07
0,0,1.1517893962232555e-07
0,0,1.1941221856822243e-07
0,0,3.8128895850687174e-07
0,0,2.9466188243025956e-07
0,0,1.540896079995616e-07
0,0,6.932356845244224e-08
0,0,1.395367318715757e-07
0,0,8.863855875710878e-08
0,0,9.46507904180563e-08
0,0,1.2621746129181794e-07
0,0,1.721735526570569e-07
0,0,1.2854101183795154e-07
0,0,2.6540199773688396e-07
0,0,4.184231374516256e-07
0,0,1.423367382719273e-07
0,0,3.698008835123349e-07
0,0,1.467705999322116e-07
0,0,1.2782813707156626e-07
0,0,4.466914354953436e-07
0,0,1.267320068711231e-07
0,0,8.418010778844212e-08
0,0,2.2110501654753967e-07
0,0,1.730097530891529e-07
0,0,1.1477226999322562e-07
0,0,1.0116708309294538e-07
0,0,3.2787437760933532e-06
0,0,3.1340500441845337e-07
0,0,1.0550219793834266e-07
0,0,9.391157012839021e-07
0,0,1.86835527889333e-07
0,0,1.6017435691431977e-07
0,0,3.166252057681155e-07
0,0,1.1849235160675019e-07
0,0,1.2581377178790878e-06
