epoch,train_loss,val_loss,lr
0,0.994448,0.513064,9.99e-04
1,0.482424,0.408517,9.96e-04
2,0.410497,0.408874,9.91e-04
3,0.369934,0.382340,9.84e-04
4,0.332370,0.336890,9.76e-04
5,0.329985,0.366698,9.65e-04
6,0.313412,0.329127,9.52e-04
7,0.299389,0.378098,9.38e-04
8,0.281022,0.327359,9.22e-04
9,0.272376,0.313762,9.05e-04
10,0.266424,0.304783,8.85e-04
11,0.259460,0.306011,8.64e-04
12,0.251310,0.329204,8.42e-04
13,0.249565,0.316348,8.19e-04
14,0.247367,0.310489,7.94e-04
15,0.239124,0.290895,7.68e-04
16,0.228405,0.293240,7.41e-04
17,0.231568,0.307017,7.13e-04
18,0.222890,0.308864,6.84e-04
19,0.220994,0.304024,6.55e-04
20,0.214291,0.303478,6.24e-04
21,0.208825,0.295529,5.94e-04
