epoch,train_loss,val_loss,lr
0,1.0379775315125783,0.48411231899261475,3.99e-04
1,0.44340493019421895,0.36856764086087546,3.98e-04
2,0.3497591280937195,0.29084800330797833,3.94e-04
3,0.2951909962892532,0.26058707547187804,3.90e-04
4,0.25924285872777303,0.236021168589592,3.85e-04
5,0.23177690807978313,0.21871049014727276,3.78e-04
6,0.21364889331658682,0.20433962281545004,3.71e-04
7,0.19476145001252493,0.18441930397351583,3.62e-04
8,0.18203587210178376,0.16697831622759501,3.52e-04
9,0.16554552966356278,0.16752315564950307,3.41e-04
10,0.15637811382611594,0.14532590985298158,3.30e-04
11,0.14786310557524363,0.13958730896313984,3.18e-04
12,0.13911437227328619,0.14694113906224568,3.04e-04
13,0.13131966402133305,0.14620177026589712,2.91e-04
14,0.12609101849794388,0.13302266518274944,2.77e-04
15,0.11923183798789978,0.13773445455233255,2.62e-04
16,0.11379883120457332,0.13928312182426453,2.47e-04
17,0.10931211264928183,0.12824349427223206,2.31e-04
18,0.10337628664573034,0.11969020398457846,2.16e-04
19,0.09652410104870796,0.1103095270395279,2.00e-04
20,0.09394866458574931,0.11115931298335394,1.84e-04
21,0.08993596338232358,0.11422172510623932,1.69e-04
22,0.08488885934154193,0.10816920324166616,1.53e-04
23,0.08110894293586413,0.11437702886263529,1.38e-04
24,0.07577259895205497,0.10161443026860555,1.23e-04
25,0.07494573482871056,0.12016151010990143,1.09e-04
26,0.07090563200910886,0.09737169440587362,9.55e-05
27,0.06807626728216808,0.10013213098049163,8.24e-05
28,0.06576885307828585,0.0995346786181132,7.01e-05
29,0.06288091010848681,0.0962410301566124,5.86e-05
30,0.06165619826813539,0.09326695354779561,4.79e-05
31,0.0587550926109155,0.09390795477231344,3.82e-05
32,0.05773271102706591,0.10013791843255361,2.95e-05
33,0.05562336521844069,0.09045339733362198,2.18e-05
34,0.05510044821103414,0.0911315149863561,1.52e-05
35,0.05361420694490274,0.08627353276809056,9.79e-06
36,0.05274623973667621,0.09174166436990103,5.53e-06
37,0.05235212723414103,0.08637836039066314,2.46e-06
38,0.05184400213758151,0.0842842009862264,6.17e-07
39,0.0517621581753095,0.08537948473294577,0.00e+00
