epoch,train_loss,val_loss,lr
0,1.5422042647997538,0.9058362404505412,3.99e-04
1,0.7430582441034771,0.6074748461587088,3.98e-04
2,0.5499165385677701,0.5262675040108817,3.94e-04
3,0.45999893171446665,0.508984835715521,3.90e-04
4,0.4089564485776992,0.5068535659426735,3.85e-04
5,0.37490171435333436,0.5163110083625431,3.78e-04
6,0.34619037330150604,0.5256832363491967,3.71e-04
7,0.3280839733566557,0.5464671393803188,3.62e-04
8,0.31015407312484017,0.5771331841605051,3.52e-04
9,0.29748991421290805,0.594110475494748,3.41e-04
10,0.2843498259215128,0.6225622793606349,3.30e-04
11,0.2743609590189798,0.6320315933227539,3.18e-04
12,0.2653705110720226,0.6710865708759853,3.04e-04
