epoch,train_loss,val_loss,lr
0,1.3646872694941534,0.8024674063143523,3.99e-04
1,0.6864042531752932,0.547989122763924,3.98e-04
2,0.49595770075701284,0.4541867382284524,3.94e-04
3,0.4266794835311779,0.4223442806713823,3.90e-04
4,0.3941323707069176,0.40738174604332966,3.85e-04
5,0.37428490329479824,0.40401979667553,3.78e-04
6,0.35792486719463185,0.39502093999282173,3.71e-04
7,0.3440811277731605,0.39764783969823864,3.62e-04
8,0.33106621974620265,0.38668610721394636,3.52e-04
9,0.31692772075749825,0.39346912684647933,3.41e-04
10,0.3013098869202793,0.38825475461241127,3.30e-04
11,0.2856866339842478,0.4057769989621812,3.18e-04
12,0.27348585124465,0.4076724244200665,3.04e-04
13,0.26241332391897837,0.4144071948701057,2.91e-04
14,0.2506647115600282,0.42124877995338994,2.77e-04
15,0.239791095904682,0.44332944465720137,2.62e-04
16,0.2281064962995225,0.47592367927233376,2.47e-04
